MemoryLimit,Nice,Depth,Dict,Dist,Multithreading,BlockSize,FlushTimeout,PositionBits,check,mfs,Literal Context Bits,time
1,1,1,1,0,1,1,0,0,1,4,15,63.31
1,1,1,1,0,0,1,1,0,1,5,8,42.01
1,1,1,1,1,0,0,1,0,1,3,9,5.85
1,1,1,1,1,0,1,0,0,3,3,4,7.96
1,1,1,1,1,0,1,1,0,2,3,11,7.88
1,1,1,1,1,1,0,0,1,1,3,12,2.67
1,1,1,1,1,0,0,1,0,1,1,12,6.27
1,1,1,1,1,1,1,0,0,2,4,1,27.03
1,1,1,1,1,0,0,1,0,1,2,11,5.59
1,1,0,0,0,0,0,0,0,3,3,13,5.43
1,0,0,0,0,1,1,0,0,3,5,12,5.88
1,1,1,1,1,0,0,0,0,1,1,3,6.78
1,1,0,1,1,0,0,0,0,2,4,11,6.07
1,0,0,0,1,0,1,0,0,4,2,5,4.1
1,1,0,0,0,0,0,0,0,1,4,5,5.75
1,1,1,1,1,1,1,0,0,2,3,2,8.45
0,0,0,0,0,1,0,0,0,3,2,14,2.86
0,1,1,1,1,1,1,0,0,2,1,6,22.97
1,1,1,1,1,0,1,1,0,4,1,2,23.39
1,1,1,1,1,0,1,1,1,4,1,2,23.19
1,0,0,1,1,1,1,0,0,4,2,3,13.62
0,1,0,0,0,0,0,0,0,4,4,13,6.08
1,0,0,0,1,0,1,0,1,4,2,5,4.09
1,1,1,1,1,0,1,1,0,4,1,10,23.15
1,0,0,0,1,1,0,0,0,4,2,5,2.12
0,1,1,1,1,1,1,0,1,2,1,6,23.91
1,0,0,1,1,1,1,0,1,4,2,3,13.24
0,1,0,0,0,0,0,0,1,4,4,13,6.14
1,0,0,0,1,1,0,0,1,4,2,5,2.13
1,0,0,1,1,0,1,0,0,2,2,9,13.17
0,1,0,0,0,0,0,0,0,4,2,13,5.2
1,0,0,1,1,0,0,0,0,4,2,5,5.69
1,0,0,1,1,0,1,0,1,2,2,9,13.09
1,1,0,0,0,0,0,0,1,1,4,5,6.06
1,0,0,0,1,1,1,0,0,2,2,9,4.05
0,0,0,0,0,0,0,0,0,1,5,15,5.56
1,0,1,0,1,0,1,1,0,4,5,3,4.15
1,0,0,1,1,0,0,0,1,4,2,5,5.91
0,1,0,0,0,0,0,0,1,4,2,13,5.59
0,1,1,0,0,0,0,0,0,1,4,5,6.99
1,1,1,1,1,0,1,1,1,4,1,10,23.11
0,0,0,0,0,0,0,0,0,1,4,2,5.95
1,0,0,0,1,1,1,0,1,2,2,9,4.06
0,0,0,0,1,0,0,0,0,4,1,13,4.46
1,1,1,1,1,0,1,1,0,4,1,13,23.67
0,1,1,0,0,0,0,0,1,1,4,5,7.02
1,1,1,1,1,0,1,1,1,4,1,13,21.72
1,1,1,1,1,0,1,1,0,4,1,5,22.93
0,0,1,0,1,0,0,0,0,1,2,5,3.98
0,0,0,0,1,0,0,0,1,4,1,13,4.8
0,0,0,0,0,0,0,0,1,1,4,2,6.01
1,1,1,1,1,0,1,0,0,2,1,6,22.65
0,0,0,0,0,0,0,1,0,4,2,13,5.59
0,0,0,0,1,1,1,0,0,4,2,5,4.12
1,1,1,1,1,0,1,1,1,4,1,5,23.38
1,1,1,1,1,0,1,0,1,2,1,6,23.83
1,1,1,1,1,0,1,1,0,4,1,4,23.88
1,0,1,0,1,0,1,1,1,4,5,3,4.13
1,0,0,1,0,0,1,1,0,1,2,9,17.42
0,0,0,0,1,1,1,0,1,4,2,5,4.12
1,0,1,0,1,1,1,0,0,1,5,3,4.1
0,0,0,0,0,0,0,1,1,4,2,13,5.61
0,0,0,1,1,0,1,0,0,4,2,5,11.54
1,1,1,1,1,1,0,0,0,2,1,6,4.03
0,0,0,0,0,0,0,0,0,1,1,2,6.07
0,0,0,0,0,0,0,0,1,1,1,2,6.08
0,0,1,0,1,0,0,0,1,1,2,5,3.99
0,0,1,0,1,0,0,0,0,1,3,5,4.12
1,1,1,1,1,0,1,1,1,4,1,4,23.68
1,1,1,1,1,0,1,1,0,4,4,4,26.75
1,1,1,1,1,0,1,1,1,4,4,4,26.22
1,1,1,1,1,0,1,1,0,4,4,10,26.64
0,0,0,0,0,0,0,1,0,4,3,13,5.53
1,1,1,1,1,0,1,1,1,4,4,10,26.53
0,0,0,1,1,0,1,0,1,4,2,5,13.92
1,0,0,1,0,0,1,1,1,1,2,9,17.46
0,0,1,0,1,0,0,0,1,1,3,5,4.11
1,1,1,1,1,1,0,0,1,2,1,6,4.02
1,1,1,0,1,1,1,0,0,2,1,6,4.74
0,0,0,0,0,0,0,0,0,1,4,12,6.05
0,0,0,0,0,0,0,0,1,1,4,12,6.05
1,1,1,1,1,0,1,1,0,4,4,2,25.78
1,1,1,1,1,0,1,1,1,4,4,2,26.65
0,0,0,0,0,0,0,1,1,4,3,13,5.54
0,1,0,0,0,0,0,0,0,4,3,13,5.53
1,0,1,0,1,1,1,0,1,1,5,3,3.79
0,0,0,1,1,1,0,0,0,4,2,5,2.87
0,0,0,0,0,0,0,0,0,3,4,12,6.03
0,0,0,0,0,0,0,0,1,3,4,12,6.03
1,0,1,1,1,0,1,0,0,1,5,3,12.97
1,0,1,1,1,0,1,0,1,1,5,3,12.84
1,1,1,0,1,1,1,0,1,2,1,6,4.75
1,0,0,0,1,1,1,0,0,1,2,9,3.74
1,0,1,1,1,0,0,1,0,4,5,3,5.63
1,1,1,0,1,1,1,0,0,2,1,12,4.75
0,1,1,0,0,0,0,0,0,1,2,5,5.52
1,0,0,0,1,1,1,0,1,1,2,9,4.04
0,0,0,1,1,1,0,0,1,4,2,5,2.87
1,0,1,1,1,0,0,1,1,4,5,3,5.65
0,1,0,0,1,1,0,0,0,4,2,5,2.13
1,1,1,1,1,0,1,1,0,4,3,12,8.46
1,0,1,1,1,1,0,0,0,1,5,3,2.73
0,0,0,0,0,0,0,0,0,4,4,12,6.12
0,0,0,0,1,1,1,0,0,2,2,11,4.04
1,0,0,1,1,0,1,0,0,1,2,9,13.44
0,0,0,0,1,1,1,0,1,2,2,11,4.04
1,0,0,1,1,0,1,0,1,1,2,9,13.38
1,1,1,0,1,1,1,0,1,2,1,12,4.76
1,0,0,1,0,0,1,1,0,2,2,9,16.46
1,1,1,1,1,0,1,1,1,4,3,12,8.83
1,1,1,1,1,0,1,1,0,4,3,9,9.1
1,0,1,1,1,1,0,0,1,1,5,3,2.7
1,0,0,1,0,0,1,1,1,2,2,9,17.83
0,1,0,0,0,0,0,0,1,4,3,13,5.54
0,0,0,0,0,0,0,0,1,4,4,12,6.14
1,0,0,0,1,1,1,0,0,1,3,9,4.16
0,1,1,0,0,0,0,0,1,1,2,5,5.53
0,0,0,0,0,0,0,0,0,4,1,12,6.2
0,0,1,1,1,1,1,0,0,1,5,3,12.91
0,0,1,0,1,0,0,0,0,1,4,5,3.91
1,1,1,1,1,0,1,1,1,4,3,9,8.26
1,0,0,0,1,1,1,0,1,1,3,9,4.16
0,0,0,0,0,1,0,0,0,4,3,13,2.86
1,1,1,1,1,0,1,1,0,4,3,6,8.5
0,0,0,0,0,1,0,0,1,4,3,13,2.88
0,0,0,0,0,0,0,0,0,1,4,5,6.05
0,0,1,0,1,0,0,0,1,1,4,5,3.92
1,0,0,1,1,0,1,0,0,1,3,9,8.35
1,0,0,1,1,0,1,0,1,1,3,9,8.69
0,0,0,0,0,0,0,0,0,2,4,12,5.76
1,0,0,1,0,0,1,1,0,1,3,9,14.31
1,0,0,0,0,0,0,0,0,4,3,13,5.53
1,1,1,1,1,1,0,0,0,2,1,12,4.05
1,0,0,1,0,0,1,1,1,1,3,9,15.05
1,0,0,0,0,0,0,0,1,4,3,13,5.53
0,0,0,0,0,0,0,0,1,2,4,12,6.07
0,1,1,0,0,0,0,0,0,1,3,5,5.09
1,0,0,0,1,1,0,0,0,2,2,11,2.08
0,0,0,0,0,1,0,0,0,4,2,13,2.91
0,1,1,0,0,0,0,0,1,1,3,5,5.48
1,0,0,0,1,1,1,0,0,1,1,9,4.74
1,0,0,0,1,1,1,0,1,1,1,9,4.41
1,1,1,1,1,0,1,1,1,4,3,6,8.27
1,0,1,0,0,0,0,0,0,1,3,5,5.46
1,0,1,0,0,0,0,0,1,1,3,5,5.49
1,1,1,1,1,1,0,0,1,2,1,12,3.85
0,0,0,0,0,0,0,0,0,1,4,13,5.99
0,0,0,0,0,1,0,0,1,4,2,13,2.9
0,0,0,1,0,1,0,0,0,1,3,5,3.99
1,1,1,1,1,0,1,0,0,2,1,12,23.5
1,1,1,1,1,0,1,0,1,2,1,12,23.04
0,0,0,1,0,1,0,0,1,1,3,5,3.99
1,1,1,1,1,0,1,1,0,4,3,14,8.46
1,1,1,1,1,0,1,1,1,4,3,14,8.73
0,0,0,0,0,0,0,0,0,1,1,12,6.1
1,1,1,0,1,1,1,0,0,2,5,12,4.12
1,1,1,1,1,0,1,1,0,4,3,1,8.14
0,0,1,1,1,1,1,0,1,1,5,3,12.71
1,0,0,0,0,0,0,0,0,4,2,13,5.22
0,0,0,0,0,1,1,0,0,1,3,5,5.13
1,0,0,1,1,0,1,0,0,1,1,9,23.32
1,1,1,0,1,1,1,0,1,2,5,12,4.12
0,0,0,0,0,0,0,0,1,1,1,12,6.11
1,1,1,0,1,1,1,0,0,2,4,12,3.97
0,1,1,1,0,1,1,0,0,1,5,3,42.71
0,1,1,1,0,1,1,0,1,1,5,3,43.39
1,0,0,0,0,0,0,0,1,4,2,13,5.58
0,0,0,0,0,1,1,0,1,1,3,5,5.51
0,0,0,0,1,0,0,0,0,4,2,13,4.06
0,1,1,0,1,1,1,0,0,4,5,3,4.18
1,0,0,1,1,0,1,0,1,1,1,9,22.59
0,0,0,1,0,0,1,0,0,1,3,5,14.75
0,0,0,0,0,0,0,0,0,3,1,12,6.09
1,1,1,1,1,0,1,1,1,4,3,1,8.88
0,1,1,0,1,1,1,0,1,4,5,3,4.18
0,0,0,0,0,0,0,0,1,1,4,5,6.06
0,0,0,0,1,0,0,0,1,4,2,13,4.07
0,1,1,1,1,0,1,0,0,4,5,3,12.87
1,1,1,1,1,1,1,0,0,4,3,1,8.42
0,0,0,0,0,0,0,0,1,3,1,12,6.1
0,0,0,0,0,0,0,1,0,4,1,13,6.16
1,0,0,0,1,1,0,0,1,2,2,11,2.09
0,0,0,0,0,0,0,1,1,4,1,13,6.2
0,0,0,0,0,1,0,0,0,4,5,13,3.07
1,1,1,0,1,1,1,0,1,2,4,12,4.0
0,1,1,1,1,0,1,0,1,4,5,3,12.94
1,0,0,1,0,0,1,1,0,1,1,9,20.73
1,0,0,1,0,0,1,1,1,1,1,9,20.04
0,0,0,0,1,1,1,0,0,3,2,11,4.01
1,1,1,1,1,1,0,0,0,2,4,12,2.9
1,0,1,1,0,1,1,0,0,4,5,3,42.92
0,0,0,0,0,0,0,0,1,4,1,12,6.22
0,0,0,0,1,0,1,1,0,2,2,12,4.01
1,1,1,1,1,1,1,0,1,4,3,1,9.0
0,0,0,0,0,0,0,0,0,4,5,3,5.89
0,0,0,0,1,1,1,0,0,3,2,15,4.02
0,0,0,0,0,1,0,0,1,4,5,13,3.07
0,0,0,1,0,0,1,0,1,1,3,5,13.79
1,1,1,1,1,1,1,0,0,4,3,12,8.87
1,0,1,1,0,1,1,0,1,4,5,3,42.74
1,0,1,0,1,1,1,0,0,4,5,3,4.18
1,0,0,0,1,1,1,0,0,1,5,9,4.1
1,0,1,0,1,1,1,0,1,4,5,3,4.21
0,0,0,0,0,0,0,0,0,1,1,5,5.7
1,0,1,1,1,0,1,0,0,4,5,3,12.97
0,0,0,0,0,0,0,0,1,1,1,5,6.12
1,0,1,1,1,0,1,0,1,4,5,3,12.82
0,0,0,0,1,1,1,0,1,3,2,15,4.02
1,0,0,0,0,0,0,0,0,4,5,13,5.89
1,0,0,0,0,0,0,0,1,4,5,13,5.93
1,1,1,1,1,1,1,0,1,4,3,12,9.03
1,1,1,0,0,1,1,0,0,4,5,3,6.55
0,0,0,0,0,0,0,0,1,1,4,13,6.05
1,1,1,1,1,1,0,0,1,2,4,12,2.77
1,1,1,0,0,1,1,0,1,4,5,3,6.3
1,1,1,1,1,1,1,0,0,4,3,9,8.6
0,0,0,0,0,0,0,0,0,1,1,13,6.07
0,0,1,1,1,1,0,0,0,1,3,3,2.69
0,0,0,0,1,0,1,0,0,1,3,5,3.82
1,1,1,1,0,0,1,0,0,4,5,3,43.0
0,0,0,0,1,1,1,0,0,3,2,7,4.02
0,1,0,1,0,1,1,0,0,3,5,3,27.32
0,0,0,0,1,0,1,0,1,1,3,5,4.15
1,1,1,1,1,0,1,0,0,2,4,12,26.45
1,1,1,1,1,0,1,0,1,2,4,12,26.64
0,0,0,0,0,0,0,0,1,1,1,13,6.1
1,1,1,1,0,0,1,0,1,4,5,3,42.88
1,1,1,1,1,1,1,0,1,4,3,9,8.81
1,0,0,0,1,1,0,0,0,3,2,15,2.08
0,0,0,0,1,1,1,0,0,3,1,15,4.4
1,1,1,0,1,0,1,0,0,4,5,3,4.14
1,1,1,0,1,0,1,0,1,4,5,3,4.15
0,0,0,0,0,0,0,1,0,4,5,13,5.93
0,0,0,0,1,1,0,0,0,1,3,5,2.16
0,1,0,1,0,1,1,0,1,3,5,3,27.58
0,0,0,0,1,1,1,0,1,3,1,15,4.74
0,0,0,0,0,0,0,0,0,1,4,4,6.0
1,1,1,1,1,1,0,0,0,2,5,12,2.73
0,0,0,0,0,0,0,0,0,2,4,2,5.99
1,0,1,1,0,1,1,0,0,1,5,3,42.98
0,1,0,1,0,1,1,0,0,3,5,11,27.34
1,1,1,1,1,1,1,0,0,4,3,6,8.53
0,0,0,0,1,1,0,0,1,1,3,5,2.16
1,1,1,1,1,1,1,0,1,4,3,6,8.58
0,1,0,1,0,1,1,0,0,1,5,3,27.35
1,1,1,1,1,1,0,0,1,2,5,12,2.59
0,0,0,1,1,0,0,0,0,1,3,5,5.51
0,0,0,0,0,0,0,0,1,2,4,2,6.0
1,0,1,1,0,1,1,0,1,1,5,3,43.6
1,0,0,0,1,0,0,1,0,3,1,15,4.7
0,0,0,0,0,0,0,0,0,2,4,9,6.04
0,0,0,0,0,0,0,0,1,2,4,9,5.83
0,1,0,1,0,1,1,0,1,1,5,3,26.87
1,1,1,0,0,1,1,0,0,1,5,3,6.47
0,0,0,1,1,0,0,0,1,1,3,5,5.52
1,1,1,1,1,1,1,0,0,4,3,14,8.81
0,0,0,0,0,0,0,1,1,4,5,13,5.92
0,0,0,0,0,0,0,0,0,2,4,6,5.99
0,1,0,1,0,1,1,0,0,1,5,11,27.26
1,0,0,0,1,0,0,1,0,3,2,15,3.97
0,0,0,0,0,0,0,0,1,2,4,6,6.01
0,0,0,0,1,0,0,0,0,4,5,13,4.15
1,0,0,0,0,0,1,0,0,1,3,5,5.49
0,1,0,1,0,1,1,0,1,1,5,11,27.4
0,1,0,1,0,1,1,0,1,3,5,11,27.53
1,1,1,1,1,1,1,0,1,4,3,14,8.44
1,1,1,1,1,0,1,0,0,2,5,12,12.93
1,0,0,0,1,0,0,1,1,3,2,15,3.98
1,1,1,1,1,0,1,0,1,2,5,12,12.78
1,0,0,0,1,0,0,1,0,3,2,7,3.96
0,0,0,0,1,1,1,0,1,3,2,7,4.01
0,0,0,1,1,0,1,0,0,3,2,15,11.74
1,0,0,0,0,0,1,0,1,1,3,5,5.5
1,0,0,0,0,1,1,0,0,3,2,15,5.53
1,1,1,0,1,1,1,0,0,2,5,5,4.1
1,1,1,1,1,0,1,1,0,4,3,15,8.56
1,0,0,0,0,1,1,0,1,3,2,15,5.55
1,1,1,0,0,1,1,0,1,1,5,3,6.51
1,1,1,1,1,0,1,1,1,4,3,15,8.42
1,1,1,0,1,1,1,0,1,2,5,5,4.12
0,1,0,1,0,1,1,0,0,1,1,3,21.1
1,0,0,0,0,1,1,0,0,3,2,7,5.52
1,0,0,0,0,1,0,0,0,1,3,5,2.84
0,1,0,1,0,1,1,0,0,1,2,3,17.69
0,1,0,1,0,1,1,0,1,1,2,3,17.38
0,0,0,0,0,0,0,0,0,2,4,14,6.03
1,0,0,0,0,1,1,0,1,3,2,7,5.55
1,0,0,0,1,0,1,0,0,3,2,12,3.98
0,0,0,0,0,0,0,0,1,2,4,14,6.05
1,0,0,0,1,0,1,0,1,3,2,12,4.0
1,1,1,1,0,0,1,0,0,1,5,3,41.42
1,1,1,1,1,1,0,0,0,2,5,5,2.75
1,1,1,1,1,1,0,0,1,2,5,5,2.59
1,1,1,1,1,0,1,1,0,4,3,7,7.96
1,1,1,1,1,0,1,1,1,4,3,7,8.94
1,1,1,1,0,0,1,0,1,1,5,3,41.85
1,1,1,1,1,1,1,0,0,4,3,4,9.0
1,1,1,1,1,1,1,0,1,4,3,4,8.24
0,0,0,0,1,0,0,0,1,4,5,13,3.83
1,1,1,1,1,1,1,0,0,4,3,10,9.35
0,0,0,0,0,0,0,0,0,2,4,1,5.96
1,0,0,0,0,1,0,0,1,1,3,5,2.85
1,0,0,1,0,0,0,0,0,1,3,5,6.88
1,0,0,1,0,0,0,0,1,1,3,5,7.28
0,0,0,0,0,0,0,0,1,2,4,1,6.0
1,0,0,0,1,0,0,0,0,1,3,5,3.81
1,1,1,1,1,0,1,0,0,2,5,5,12.69
0,0,0,1,0,0,0,0,0,4,5,13,7.96
0,1,0,1,0,1,1,0,0,1,2,11,17.79
0,0,0,0,0,0,0,0,0,2,1,1,5.66
0,1,0,1,0,1,1,0,1,1,2,11,17.46
0,1,0,1,1,1,0,0,0,1,2,3,2.81
1,1,1,1,1,0,1,0,1,2,5,5,12.91
0,0,0,1,0,0,0,0,1,4,5,13,8.01
1,1,1,1,1,1,1,0,1,4,3,10,8.55
1,0,0,0,1,1,0,0,0,3,2,12,1.93
0,0,0,1,0,0,0,0,0,4,2,13,7.54
0,0,0,1,1,1,1,0,0,1,5,3,11.53
0,1,1,1,1,1,1,0,0,2,5,15,12.93
1,1,0,1,1,0,1,1,0,3,4,2,22.98
0,0,0,1,0,0,0,0,1,4,2,13,7.6
1,0,0,0,1,0,0,0,1,1,3,5,3.81
1,1,1,0,1,0,1,0,0,1,5,3,4.06
1,1,0,1,1,0,1,1,1,3,4,2,22.48
0,0,0,1,0,0,0,0,0,4,3,13,7.31
1,0,1,1,1,0,1,1,0,3,1,2,22.93
0,0,0,0,0,0,0,0,1,2,1,1,6.1
0,0,0,0,0,0,0,0,0,2,2,1,5.12
0,1,0,0,0,0,1,0,0,1,3,5,5.5
1,0,1,1,1,0,1,1,1,3,1,2,23.12
0,0,0,1,1,1,1,0,1,1,5,3,10.92
0,0,0,1,0,0,0,0,1,4,3,13,7.34
1,1,0,1,1,0,1,1,0,3,1,2,21.3
0,0,0,0,0,0,0,0,1,2,2,1,5.51
1,1,0,1,1,0,1,1,1,3,1,2,23.64
1,1,1,1,1,1,1,0,0,4,3,2,8.32
0,0,0,0,0,0,0,0,0,1,4,1,5.7
1,0,0,0,1,1,0,0,1,3,2,12,2.08
0,0,0,1,0,0,0,0,0,4,1,13,8.06
0,0,0,0,0,0,0,0,1,1,4,1,6.0
0,0,0,1,1,1,1,0,0,1,5,11,11.26
0,0,0,1,1,0,1,0,1,3,2,15,13.55
1,1,1,1,1,1,1,0,1,4,3,2,9.02
0,1,0,0,0,0,1,0,1,1,3,5,5.5
1,0,0,1,0,0,1,0,0,3,2,15,16.74
0,0,0,1,1,1,1,0,1,1,5,11,11.4
1,1,1,1,1,1,1,0,0,4,3,13,8.82
1,0,1,1,1,0,1,1,0,3,4,2,26.39
1,1,1,1,1,1,1,0,1,4,3,13,9.36
1,1,1,0,1,0,1,0,1,1,5,3,3.76
1,0,1,1,1,0,1,1,1,3,4,2,25.26
0,0,0,1,1,1,1,0,0,1,2,3,13.81
0,0,0,1,1,1,0,0,0,3,2,15,2.66
0,0,0,0,0,0,0,0,0,3,4,1,5.94
0,0,0,0,0,0,0,0,1,3,4,1,5.98
0,0,0,0,0,0,0,0,0,1,2,1,5.48
1,1,1,1,0,0,1,1,0,3,3,2,14.55
1,1,1,1,0,0,1,1,1,3,3,2,14.1
1,1,1,1,1,1,1,0,0,4,2,10,12.79
1,1,1,1,1,1,1,0,1,4,2,10,13.28
0,0,0,1,1,1,1,0,1,1,2,3,13.27
0,1,1,1,1,0,1,1,0,3,4,2,27.15
0,0,1,1,1,1,1,0,0,4,5,3,13.17
1,1,1,1,1,1,1,0,0,4,2,13,13.06
0,0,0,1,0,0,0,0,1,4,1,13,8.08
0,0,1,1,1,1,1,0,1,4,5,3,12.81
0,0,0,1,1,1,1,0,0,1,2,11,11.68
0,0,0,1,0,0,0,0,0,4,4,13,8.56
0,1,0,0,0,1,0,0,0,1,3,5,2.83
0,1,1,1,0,1,1,0,0,4,5,3,43.44
0,1,0,0,0,1,0,0,1,1,3,5,2.85
0,1,1,1,1,0,1,1,1,3,4,2,26.16
0,1,1,1,0,1,1,0,1,4,5,3,43.15
0,0,0,1,1,1,1,0,1,1,2,11,12.92
0,1,1,0,1,1,1,0,0,1,5,3,4.1
0,1,1,1,1,0,1,1,0,3,5,2,12.69
1,0,0,1,0,1,0,0,0,3,2,15,4.04
0,1,1,1,1,0,1,1,1,3,5,2,12.87
0,1,0,1,1,1,0,0,0,1,5,3,2.74
0,1,0,1,1,1,0,0,1,1,5,3,2.58
0,0,0,0,0,0,0,0,1,1,2,1,5.11
0,0,0,1,1,1,0,0,1,3,2,15,2.82
0,1,0,1,0,0,0,0,0,1,3,5,7.24
0,1,0,1,1,1,0,0,0,1,5,11,2.71
1,1,1,1,1,1,1,0,1,4,2,13,12.99
1,1,1,1,1,1,1,0,0,4,2,4,11.69
1,1,1,1,1,1,1,0,1,4,2,4,13.23
0,1,1,0,1,1,1,0,1,1,5,3,4.11
1,0,0,1,0,1,0,0,1,3,2,15,4.32
0,1,0,1,1,1,0,0,1,1,5,11,2.7
0,1,0,1,0,0,0,0,1,1,3,5,6.86
1,1,0,1,1,0,1,1,0,3,5,2,11.59
1,0,0,1,0,0,1,0,1,3,2,15,17.24
0,0,0,0,0,0,0,0,0,3,2,1,5.47
0,1,1,1,1,0,1,0,0,1,5,3,12.75
0,1,1,1,1,0,1,0,1,1,5,3,12.6
0,1,0,0,1,0,0,0,0,1,3,5,4.11
0,0,0,1,0,0,0,0,1,4,4,13,8.43
1,0,0,1,0,1,0,0,0,3,2,7,4.3
0,1,0,0,1,0,0,0,1,1,3,5,4.11
0,0,0,0,0,0,0,0,1,3,2,1,5.12
0,1,1,1,1,1,0,0,0,1,5,3,2.77
0,0,0,0,0,0,0,1,0,4,4,13,6.08
0,1,0,1,1,1,0,0,1,1,2,3,2.81
0,0,0,0,0,0,0,1,1,4,4,13,6.14
1,0,0,1,0,1,0,0,1,3,2,7,4.3
1,0,0,1,0,0,1,0,0,3,2,7,17.44
0,0,0,0,0,1,0,0,0,4,4,13,3.16
1,1,0,0,0,0,0,0,0,1,3,5,5.46
1,1,1,1,1,1,1,0,0,4,2,2,11.62
1,1,0,1,1,0,1,1,1,3,5,2,11.41
0,0,0,0,0,0,0,0,0,4,2,1,5.58
1,1,0,0,0,0,0,0,1,1,3,5,5.11
0,0,0,1,1,1,1,0,0,1,5,12,11.3
1,0,1,1,1,0,1,1,0,3,5,2,13.09
1,1,1,1,1,1,1,0,1,4,2,2,13.8
0,0,0,0,0,0,0,0,1,4,2,1,5.58
1,0,1,1,1,0,1,1,1,3,5,2,12.7
0,0,1,0,0,0,1,0,0,1,3,5,5.5
0,1,0,1,1,1,0,0,0,1,2,11,2.83
1,0,0,1,0,0,1,0,1,3,2,7,17.51
1,1,1,1,0,0,1,1,0,3,5,2,42.2
0,1,0,1,1,1,0,0,1,1,2,11,2.8
1,1,1,1,1,1,1,0,0,4,2,5,13.04
1,1,1,1,0,0,1,1,1,3,5,2,40.74
0,1,0,0,0,1,1,0,0,3,2,15,5.53
1,1,1,1,1,1,1,0,1,4,2,5,13.65
0,0,0,0,0,0,0,0,0,4,4,1,5.77
0,1,1,1,1,1,0,0,1,1,5,3,2.7
1,0,1,1,1,0,1,1,0,4,5,2,12.76
1,1,1,0,1,1,0,0,0,1,5,3,2.12
0,0,0,1,1,1,1,0,1,1,5,12,11.27
1,1,1,1,1,1,1,0,0,4,3,5,8.34
1,0,1,1,1,0,1,1,1,4,5,2,12.75
0,0,1,0,0,0,1,0,1,1,3,5,5.49
0,0,1,0,0,1,0,0,0,1,3,5,2.84
0,0,0,1,1,1,1,0,0,1,5,6,11.23
0,0,0,0,0,1,0,0,1,4,4,13,3.02
0,0,1,0,0,1,0,0,1,1,3,5,2.85
1,1,1,1,1,1,1,0,1,4,3,5,8.97
1,1,1,0,1,1,0,0,1,1,5,3,2.13
0,0,0,0,1,0,0,0,0,4,4,13,3.97
0,0,0,0,1,0,0,0,1,4,4,13,3.98
1,0,0,0,0,0,0,0,0,4,4,13,5.8
0,0,0,0,0,0,0,0,1,4,4,1,6.07
1,1,1,1,1,0,0,0,0,1,5,3,5.4
1,0,1,1,1,0,1,1,0,4,3,2,8.18
1,1,1,1,1,0,0,0,1,1,5,3,5.57
0,0,0,1,1,1,1,0,1,1,5,6,11.45
0,0,0,1,1,1,1,0,0,1,5,2,11.11
0,0,1,1,0,0,0,0,0,1,3,5,7.25
0,0,1,1,0,0,0,0,1,1,3,5,7.28
0,1,0,0,0,1,1,0,1,3,2,15,5.55
1,0,0,0,0,0,0,0,1,4,4,13,6.12
0,0,0,1,1,1,1,0,1,1,5,2,11.34
0,0,0,0,0,0,0,0,0,4,1,1,6.14
0,0,0,0,0,0,0,0,1,4,1,1,6.16
1,0,1,1,1,0,1,1,1,4,3,2,8.78
0,1,0,0,0,1,1,0,0,3,2,7,5.53
0,0,0,0,0,1,1,0,0,1,3,7,5.12
0,0,0,1,1,1,1,0,0,1,2,12,12.92
0,0,0,0,0,0,1,0,0,4,4,13,6.12
0,1,0,0,0,1,1,0,1,3,2,7,5.53
0,0,0,0,0,0,1,0,1,4,4,13,6.19
0,0,1,0,0,0,0,0,0,4,4,13,7.01
0,0,0,0,0,1,1,0,1,1,3,7,5.49
1,1,1,1,0,1,0,0,0,1,5,3,5.43
1,1,1,1,0,1,0,0,1,1,5,3,5.45
0,0,0,1,1,1,1,0,1,1,2,12,13.58
1,1,1,0,1,1,0,0,0,1,5,15,2.13
1,0,1,1,1,0,1,1,0,4,4,2,26.74
0,0,0,0,0,0,0,0,0,4,1,13,5.75
0,1,0,1,0,1,0,0,0,3,2,15,4.31
0,0,0,0,0,0,0,0,1,4,1,13,6.19
0,0,0,1,1,1,1,0,0,1,2,6,13.79
0,0,0,0,0,1,1,0,0,1,3,15,5.5
0,1,0,1,0,1,0,0,1,3,2,15,4.32
1,1,1,0,1,1,0,0,1,1,5,15,2.13
0,0,1,0,0,0,0,0,1,4,4,13,7.04
0,0,0,0,1,0,0,0,0,2,4,13,3.62
0,0,0,1,1,1,1,0,1,1,2,6,12.91
0,0,0,1,1,1,1,0,0,1,2,2,12.53
0,0,0,0,0,0,0,0,0,4,1,14,6.19
0,0,0,0,0,1,1,0,1,1,3,15,5.5
0,0,0,0,1,0,0,0,1,2,4,13,3.91
1,0,1,1,1,0,1,1,1,4,4,2,26.01
1,1,1,1,1,1,1,0,0,4,1,9,23.54
0,1,0,1,0,0,1,0,0,3,2,15,17.43
1,1,1,1,0,0,1,1,0,4,3,2,14.61
0,0,0,0,0,0,0,0,1,4,1,14,5.79
0,0,1,0,0,0,0,0,0,2,4,13,6.93
1,1,1,1,1,0,1,1,0,4,2,11,11.47
0,0,0,0,0,0,0,0,0,4,1,9,6.19
1,1,1,1,1,1,1,0,0,2,4,13,26.59
1,1,1,0,1,1,0,0,0,1,5,7,2.13
0,0,0,1,0,0,1,0,0,1,3,7,15.05
0,0,0,1,0,0,1,0,1,1,3,7,14.28
